cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28894,-100.28,14479,-17.574,92.703,14430,-66.99,69.944,0,21,4,5697,4,5697,20,8800,20,8800
0,2,28896,-98.033,14479,-17.574,92.703,14438,-58.91,108.77,0,21,4,5697,4,5697,20,8800,20,8800
0,3,28945,-48.68,14479,-17.574,92.703,14492,-5.3014,136.2,0,21,4,5697,4,5697,20,8800,20,8800
0,4,28928,-66.168,14479,-17.574,92.703,14464,-33.468,51.782,0,21,4,5697,4,5697,20,8800,20,8800
0,5,28959,-35.098,14479,-17.574,92.703,14514,16.742,199.37,0,21,4,5697,4,5697,20,8800,20,8800
0,6,28986,-8.161,14479,-17.574,92.703,14540,42.69,152.75,0,21,4,5697,4,5697,20,8800,20,8800
0,7,28999,5.282,14479,-17.574,92.703,14565,67.706,225.98,0,21,4,5697,4,5697,20,8800,20,8800
0,8,28895,-99.267,14479,-17.574,92.703,14435,-62.126,71.753,0,21,4,5697,4,5697,20,8800,20,8800
0,9,28935,-58.917,14479,-17.574,92.703,14486,-10.821,170.3,0,21,4,5697,4,5697,20,8800,20,8800
0,10,28925,-68.673,14479,-17.574,92.703,14475,-21.897,109.03,0,21,4,5697,4,5697,20,8800,20,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28963,-30.928,14479,-17.574,92.703,14522,24.911,181.55,0,21,4,5697,4,5697,20,8800,20,8800
0,13,29024,30.277,14479,-17.574,92.703,14592,95.235,244.03,0,21,4,5697,4,5697,20,8800,20,8800
0,14,28893,-101.17,14479,-17.574,92.703,14438,-59.216,86.437,0,21,4,5697,4,5697,20,8800,20,8800
0,15,28954,-39.718,14479,-17.574,92.703,14497,-0.018944,95.871,0,21,4,5697,4,5697,20,8800,20,8800
0,16,28955,-39.456,14479,-17.574,92.703,14505,8.2047,169.08,0,21,4,5697,4,5697,20,8800,20,8800
0,17,28954,-39.657,14479,-17.574,92.703,14512,14.947,152.87,0,21,4,5697,4,5697,20,8800,20,8800
0,18,28994,-0.19172,14479,-17.574,92.703,14556,58.894,197.27,0,21,4,5697,4,5697,20,8800,20,8800
0,19,28936,-58.253,14479,-17.574,92.703,14470,-26.578,60.429,0,21,4,5697,4,5697,20,8800,20,8800
0,20,29100,105.53,14479,-17.574,92.703,14645,147.96,147.96,0,21,4,5697,4,5697,20,8800,20,8800
0,21,28904,-90.372,14479,-17.574,92.703,14444,-53.433,97.768,0,21,4,5697,4,5697,20,8800,20,8800
0,22,28936,-57.735,14479,-17.574,92.703,14483,-13.926,118.68,0,21,4,5697,4,5697,20,8800,20,8800
0,23,28932,-61.752,14479,-17.574,92.703,14475,-22.159,136.4,0,21,4,5697,4,5697,20,8800,20,8800
0,24,28941,-53.315,14479,-17.574,92.703,14494,-3.1145,124.44,0,21,4,5697,4,5697,20,8800,20,8800
0,25,28940,-54.454,14479,-17.574,92.703,14477,-20.451,70.856,0,21,4,5697,4,5697,20,8800,20,8800
0,26,28977,-16.648,14479,-17.574,92.703,14512,14.677,53.173,0,21,4,5697,4,5697,20,8800,20,8800
0,27,29089,94.557,14479,-17.574,92.703,14657,160.43,332.69,0,21,4,5697,4,5697,20,8800,20,8800
0,28,28965,-28.957,14479,-17.574,92.703,14528,30.537,186.51,0,21,4,5697,4,5697,20,8800,20,8800
0,29,28960,-34.017,14479,-17.574,92.703,14512,14.99,157.41,0,21,4,5697,4,5697,20,8800,20,8800
0,30,29191,197.34,14479,-17.574,92.703,14760,263.04,464.81,0,21,4,5697,4,5697,20,8800,20,8800
0,31,28899,-95.283,14479,-17.574,92.703,14438,-58.799,120.52,0,21,4,5697,4,5697,20,8800,20,8800
1,2,28836,-157.85,14419,-77.535,69.944,14438,-58.91,108.77,0,21,4,5697,4,5697,20,8800,20,8800
1,3,28880,-113.99,14419,-77.535,69.944,14492,-5.3014,136.2,0,21,4,5697,4,5697,20,8800,20,8800
1,4,28870,-123.53,14419,-77.535,69.944,14464,-33.468,51.782,0,21,4,5697,4,5697,20,8800,20,8800
1,5,28892,-102.18,14419,-77.535,69.944,14514,16.742,199.37,0,21,4,5697,4,5697,20,8800,20,8800
1,6,28921,-73.116,14419,-77.535,69.944,14540,42.69,152.75,0,21,4,5697,4,5697,20,8800,20,8800
1,7,28929,-65.212,14419,-77.535,69.944,14565,67.706,225.98,0,21,4,5697,4,5697,20,8800,20,8800
1,8,28835,-158.85,14419,-77.535,69.944,14435,-62.126,71.753,0,21,4,5697,4,5697,20,8800,20,8800
