cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28948,-45.735,14490,-7.4388,42.929,14465,-32.247,28.08,0,21,4,5697,4,5697,20,8800,20,8800
0,2,28950,-43.62,14490,-7.4388,42.929,14470,-26.571,47.583,0,21,4,5697,4,5697,20,8800,20,8800
0,3,28973,-21.304,14490,-7.4388,42.929,14493,-3.6264,59.537,0,21,4,5697,4,5697,20,8800,20,8800
0,4,28964,-29.963,14490,-7.4388,42.929,14481,-15.792,22.808,0,21,4,5697,4,5697,20,8800,20,8800
0,5,28981,-12.63,14490,-7.4388,42.929,14507,9.8605,90.822,0,21,4,5697,4,5697,20,8800,20,8800
0,6,28990,-4.1753,14490,-7.4388,42.929,14517,20.283,70.242,0,21,4,5697,4,5697,20,8800,20,8800
0,7,28999,4.5498,14490,-7.4388,42.929,14530,32.894,104.55,0,21,4,5697,4,5697,20,8800,20,8800
0,8,28949,-45.278,14490,-7.4388,42.929,14469,-27.513,32.643,0,21,4,5697,4,5697,20,8800,20,8800
0,9,28969,-25.432,14490,-7.4388,42.929,14493,-4.4792,78.356,0,21,4,5697,4,5697,20,8800,20,8800
0,10,28963,-30.939,14490,-7.4388,42.929,14487,-9.5682,50.523,0,21,4,5697,4,5697,20,8800,20,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28981,-13.128,14490,-7.4388,42.929,14508,10.978,82.13,0,21,4,5697,4,5697,20,8800,20,8800
0,13,29009,14.599,14490,-7.4388,42.929,14541,43.808,111.2,0,21,4,5697,4,5697,20,8800,20,8800
0,14,28948,-45.51,14490,-7.4388,42.929,14469,-27.535,36.793,0,21,4,5697,4,5697,20,8800,20,8800
0,15,28977,-17.489,14490,-7.4388,42.929,14498,0.69286,44.673,0,21,4,5697,4,5697,20,8800,20,8800
0,16,28976,-17.725,14490,-7.4388,42.929,14505,7.6073,81.727,0,21,4,5697,4,5697,20,8800,20,8800
0,17,28976,-18.21,14490,-7.4388,42.929,14504,6.7726,68.792,0,21,4,5697,4,5697,20,8800,20,8800
0,18,28995,0.74456,14490,-7.4388,42.929,14526,28.698,90.999,0,21,4,5697,4,5697,20,8800,20,8800
0,19,28967,-26.511,14490,-7.4388,42.929,14485,-12.052,27.15,0,21,4,5697,4,5697,20,8800,20,8800
0,20,29038,43.924,14490,-7.4388,42.929,14565,67.629,67.629,0,21,4,5697,4,5697,20,8800,20,8800
0,21,28953,-40.513,14490,-7.4388,42.929,14473,-23.767,46.336,0,21,4,5697,4,5697,20,8800,20,8800
0,22,28970,-24.077,14490,-7.4388,42.929,14494,-2.6523,58.642,0,21,4,5697,4,5697,20,8800,20,8800
0,23,28966,-27.667,14490,-7.4388,42.929,14489,-8.4468,63.387,0,21,4,5697,4,5697,20,8800,20,8800
0,24,28970,-24.243,14490,-7.4388,42.929,14495,-2.0277,55.126,0,21,4,5697,4,5697,20,8800,20,8800
0,25,28969,-24.615,14490,-7.4388,42.929,14488,-9.3634,32.646,0,21,4,5697,4,5697,20,8800,20,8800
0,26,28986,-7.8575,14490,-7.4388,42.929,14503,6.3414,23.762,0,21,4,5697,4,5697,20,8800,20,8800
0,27,29039,44.877,14490,-7.4388,42.929,14573,76.359,156.5,0,21,4,5697,4,5697,20,8800,20,8800
0,28,28982,-12.096,14490,-7.4388,42.929,14511,14.242,85.073,0,21,4,5697,4,5697,20,8800,20,8800
0,29,28978,-15.618,14490,-7.4388,42.929,14503,5.6077,70.825,0,21,4,5697,4,5697,20,8800,20,8800
