cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29383,389.23,14857,360.32,393.09,14544,46.715,85.535,0,21,4,5697,4,5697,20,8800,20,8800
0,2,29411,416.54,14857,360.32,393.09,14573,75.661,133.49,0,21,4,5697,4,5697,20,8800,20,8800
0,3,29432,438.32,14857,360.32,393.09,14588,90.693,132.75,0,21,4,5697,4,5697,20,8800,20,8800
0,4,29364,369.84,14857,360.32,393.09,14517,20.396,43.967,0,21,4,5697,4,5697,20,8800,20,8800
0,5,29387,393.28,14857,360.32,393.09,14551,53.917,104.22,0,21,4,5697,4,5697,20,8800,20,8800
0,6,29588,594.18,14857,360.32,393.09,14733,236.13,266.73,0,21,4,5697,4,5697,20,8800,20,8800
0,7,29656,661.51,14857,360.32,393.09,14806,308.8,363.46,0,21,4,5697,4,5697,20,8800,20,8800
0,8,29406,411.59,14857,360.32,393.09,14568,71.047,105.56,0,21,4,5697,4,5697,20,8800,20,8800
0,9,29364,370.11,14857,360.32,393.09,14526,28.907,117.96,0,21,4,5697,4,5697,20,8800,20,8800
0,10,29435,441.22,14857,360.32,393.09,14584,87.339,107.56,0,21,4,5697,4,5697,20,8800,20,8800
0,11,29609,614.89,14857,360.32,393.09,14754,256.58,280.31,0,21,4,5697,4,5697,20,8800,20,8800
0,12,29392,397.92,14857,360.32,393.09,14564,67.334,131.89,0,21,4,5697,4,5697,20,8800,20,8800
0,13,29488,494.42,14857,360.32,393.09,14645,148.03,192.23,0,21,4,5697,4,5697,20,8800,20,8800
0,14,29388,394.18,14857,360.32,393.09,14551,53.768,101.41,0,21,4,5697,4,5697,20,8800,20,8800
0,15,29505,511.38,14857,360.32,393.09,14654,157.27,185.1,0,21,4,5697,4,5697,20,8800,20,8800
0,16,29457,463.4,14857,360.32,393.09,14614,117.14,172.99,0,21,4,5697,4,5697,20,8800,20,8800
0,17,29515,520.68,14857,360.32,393.09,14667,169.76,210.79,0,21,4,5697,4,5697,20,8800,20,8800
0,18,29554,560.47,14857,360.32,393.09,14709,211.75,269.47,0,21,4,5697,4,5697,20,8800,20,8800
0,19,29372,377.61,14857,360.32,393.09,14524,27.412,55.929,0,21,4,5697,4,5697,20,8800,20,8800
