cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28951,-43.419,14493,-4.2828,42.929,14465,-32.247,28.08,0,21,4,5697,4,5697,9,8800,9,8800
0,2,28954,-39.828,14493,-4.2828,42.929,14470,-26.571,47.583,0,21,4,5697,4,5697,9,8800,9,8800
0,3,28977,-17.424,14493,-4.2828,42.929,14493,-3.6264,59.537,0,21,4,5697,4,5697,9,8800,9,8800
0,4,28966,-27.536,14493,-4.2828,42.929,14481,-15.792,22.808,0,21,4,5697,4,5697,9,8800,9,8800
0,5,28987,-6.638,14493,-4.2828,42.929,14507,9.8605,90.822,0,21,4,5697,4,5697,9,8800,9,8800
0,6,28998,3.9102,14493,-4.2828,42.929,14517,20.283,70.242,0,21,4,5697,4,5697,9,8800,9,8800
0,7,29010,16.093,14493,-4.2828,42.929,14530,32.894,104.55,0,21,4,5697,4,5697,9,8800,9,8800
0,8,28953,-41.457,14493,-4.2828,42.929,14469,-27.513,32.643,0,21,4,5697,4,5697,9,8800,9,8800
0,9,28974,-19.603,14493,-4.2828,42.929,14493,-4.4792,78.356,0,21,4,5697,4,5697,9,8800,9,8800
0,10,28969,-25.024,14493,-4.2828,42.929,14487,-9.5682,50.523,0,21,4,5697,4,5697,9,8800,9,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28989,-5.1287,14493,-4.2828,42.929,14508,10.978,82.13,0,21,4,5697,4,5697,9,8800,9,8800
0,13,29020,25.85,14493,-4.2828,42.929,14541,43.808,111.2,0,21,4,5697,4,5697,9,8800,9,8800
0,14,28953,-41.466,14493,-4.2828,42.929,14469,-27.535,36.793,0,21,4,5697,4,5697,9,8800,9,8800
0,15,28980,-14.145,14493,-4.2828,42.929,14498,0.69286,44.673,0,21,4,5697,4,5697,9,8800,9,8800
0,16,28985,-9.3078,14493,-4.2828,42.929,14505,7.6073,81.727,0,21,4,5697,4,5697,9,8800,9,8800
0,17,28985,-9.4884,14493,-4.2828,42.929,14504,6.7728,68.792,0,21,4,5697,4,5697,9,8800,9,8800
0,18,29006,11.755,14493,-4.2828,42.929,14526,28.698,90.999,0,21,4,5697,4,5697,9,8800,9,8800
0,19,28970,-24.098,14493,-4.2828,42.929,14485,-12.052,27.15,0,21,4,5697,4,5697,9,8800,9,8800
0,20,29041,47.165,14493,-4.2828,42.929,14565,67.629,67.629,0,21,4,5697,4,5697,9,8800,9,8800
0,21,28957,-36.715,14493,-4.2828,42.929,14473,-23.767,46.336,0,21,4,5697,4,5697,9,8800,9,8800
0,22,28976,-18.202,14493,-4.2828,42.929,14494,-2.6523,58.642,0,21,4,5697,4,5697,9,8800,9,8800
0,23,28971,-23.233,14493,-4.2828,42.929,14489,-8.4468,63.387,0,21,4,5697,4,5697,9,8800,9,8800
0,24,28976,-17.526,14493,-4.2828,42.929,14495,-2.0277,55.126,0,21,4,5697,4,5697,9,8800,9,8800
0,25,28972,-22.356,14493,-4.2828,42.929,14488,-9.3633,32.646,0,21,4,5697,4,5697,9,8800,9,8800
0,26,28989,-5.2143,14493,-4.2828,42.929,14503,6.3414,23.762,0,21,4,5697,4,5697,9,8800,9,8800
0,27,29051,57.349,14493,-4.2828,42.929,14573,76.359,156.5,0,21,4,5697,4,5697,9,8800,9,8800
0,28,28992,-2.1339,14493,-4.2828,42.929,14511,14.242,85.073,0,21,4,5697,4,5697,9,8800,9,8800
0,29,28984,-10.498,14493,-4.2828,42.929,14503,5.6076,70.825,0,21,4,5697,4,5697,9,8800,9,8800
0,30,29090,96.105,14493,-4.2828,42.929,14617,119.63,208.75,0,21,4,5697,4,5697,9,8800,9,8800
0,31,28955,-39.385,14493,-4.2828,42.929,14471,-26.205,56.309,0,21,4,5697,4,5697,9,8800,9,8800
1,2,28923,-70.614,14462,-35.416,28.08,14470,-26.571,47.583,0,21,4,5697,4,5697,9,8800,9,8800
1,3,28943,-50.931,14462,-35.416,28.08,14493,-3.6264,59.537,0,21,4,5697,4,5697,9,8800,9,8800
1,4,28938,-55.816,14462,-35.416,28.08,14481,-15.792,22.808,0,21,4,5697,4,5697,9,8800,9,8800
1,5,28954,-40.341,14462,-35.416,28.08,14507,9.8605,90.822,0,21,4,5697,4,5697,9,8800,9,8800
1,6,28963,-31.121,14462,-35.416,28.08,14517,20.283,70.242,0,21,4,5697,4,5697,9,8800,9,8800
1,7,28975,-19.146,14462,-35.416,28.08,14530,32.894,104.55,0,21,4,5697,4,5697,9,8800,9,8800
1,8,28923,-70.967,14462,-35.416,28.08,14469,-27.513,32.643,0,21,4,5697,4,5697,9,8800,9,8800
1,9,28940,-53.533,14462,-35.416,28.08,14493,-4.4792,78.356,0,21,4,5697,4,5697,9,8800,9,8800
1,10,28937,-57.129,14462,-35.416,28.08,14487,-9.5682,50.523,0,21,4,5697,4,5697,9,8800,9,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,28954,-40.134,14462,-35.416,28.08,14508,10.978,82.13,0,21,4,5697,4,5697,9,8800,9,8800
