cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29171,177.22,14652,155.22,172.24,14528,31.031,50.125,0,21,4,5697,4,5697,11,8800,11,8800
0,2,29174,179.79,14652,155.22,172.24,14533,35.704,62.189,0,21,4,5697,4,5697,11,8800,11,8800
0,3,29178,183.91,14652,155.22,172.24,14534,37.193,55.338,0,21,4,5697,4,5697,11,8800,11,8800
0,4,29151,157.04,14652,155.22,172.24,14506,9.0056,19.758,0,21,4,5697,4,5697,11,8800,11,8800
0,5,29160,165.8,14652,155.22,172.24,14519,22.32,45.227,0,21,4,5697,4,5697,11,8800,11,8800
0,6,29255,261.29,14652,155.22,172.24,14605,108.49,122.54,0,21,4,5697,4,5697,11,8800,11,8800
0,7,29290,296.06,14652,155.22,172.24,14643,146.39,171.87,0,21,4,5697,4,5697,11,8800,11,8800
0,8,29170,175.51,14652,155.22,172.24,14529,32.158,47.792,0,21,4,5697,4,5697,11,8800,11,8800
0,9,29152,157.62,14652,155.22,172.24,14510,13.213,54.681,0,21,4,5697,4,5697,11,8800,11,8800
0,10,29188,193.66,14652,155.22,172.24,14540,42.657,52.039,0,21,4,5697,4,5697,11,8800,11,8800
0,11,29271,276.87,14652,155.22,172.24,14621,123.92,134.5,0,21,4,5697,4,5697,11,8800,11,8800
0,12,29165,171.44,14652,155.22,172.24,14528,31.036,60.676,0,21,4,5697,4,5697,11,8800,11,8800
0,13,29198,204.38,14652,155.22,172.24,14556,58.843,77.944,0,21,4,5697,4,5697,11,8800,11,8800
0,14,29159,165.27,14652,155.22,172.24,14520,22.553,43.86,0,21,4,5697,4,5697,11,8800,11,8800
0,15,29215,221.28,14652,155.22,172.24,14568,70.892,83.34,0,21,4,5697,4,5697,11,8800,11,8800
0,16,29203,209.17,14652,155.22,172.24,14559,61.873,88.599,0,21,4,5697,4,5697,11,8800,11,8800
0,17,29221,227.39,14652,155.22,172.24,14576,78.565,97.114,0,21,4,5697,4,5697,11,8800,11,8800
0,18,29243,249.3,14652,155.22,172.24,14598,100.71,127.68,0,21,4,5697,4,5697,11,8800,11,8800
0,19,29156,161.96,14652,155.22,172.24,14510,13.051,26.278,0,21,4,5697,4,5697,11,8800,11,8800
0,20,29192,198.43,14652,155.22,172.24,14546,49.018,73.548,0,21,4,5697,4,5697,11,8800,11,8800
0,21,29142,148.42,14652,155.22,172.24,14507,10.28,43.145,0,21,4,5697,4,5697,11,8800,11,8800
0,22,29152,158.1,14652,155.22,172.24,14514,17.258,42.025,0,21,4,5697,4,5697,11,8800,11,8800
0,23,29183,189.24,14652,155.22,172.24,14537,40.476,65.022,0,21,4,5697,4,5697,11,8800,11,8800
0,24,29156,161.85,14652,155.22,172.24,14523,25.617,58.381,0,21,4,5697,4,5697,11,8800,11,8800
0,25,29141,146.8,14652,155.22,172.24,14496,-0.931,11.398,0,21,4,5697,4,5697,11,8800,11,8800
0,26,29180,185.97,14652,155.22,172.24,14531,33.601,39.194,0,21,4,5697,4,5697,11,8800,11,8800
0,27,29271,277.03,14652,155.22,172.24,14626,129.18,157.41,0,21,4,5697,4,5697,11,8800,11,8800
0,28,29255,260.85,14652,155.22,172.24,14610,112.97,139.19,0,21,4,5697,4,5697,11,8800,11,8800
0,29,29160,166.02,14652,155.22,172.24,14516,18.791,36.044,0,21,4,5697,4,5697,11,8800,11,8800
0,30,29160,165.51,14652,155.22,172.24,14518,21.363,38.517,0,21,4,5697,4,5697,11,8800,11,8800
0,31,29159,165.4,14652,155.22,172.24,14519,21.805,58.206,0,21,4,5697,4,5697,11,8800,11,8800
1,2,29045,50.533,14523,25.834,50.125,14533,35.704,62.189,0,21,4,5697,4,5697,11,8800,11,8800
1,3,29049,54.713,14523,25.834,50.125,14534,37.193,55.338,0,21,4,5697,4,5697,11,8800,11,8800
1,4,29022,27.983,14523,25.834,50.125,14506,9.0056,19.758,0,21,4,5697,4,5697,11,8800,11,8800
1,5,29032,37.686,14523,25.834,50.125,14519,22.32,45.227,0,21,4,5697,4,5697,11,8800,11,8800
1,6,29122,128.14,14523,25.834,50.125,14605,108.49,122.54,0,21,4,5697,4,5697,11,8800,11,8800
1,7,29157,163.39,14523,25.834,50.125,14643,146.39,171.87,0,21,4,5697,4,5697,11,8800,11,8800
1,8,29043,48.55,14523,25.834,50.125,14529,32.158,47.792,0,21,4,5697,4,5697,11,8800,11,8800
1,9,29023,29.138,14523,25.834,50.125,14510,13.213,54.681,0,21,4,5697,4,5697,11,8800,11,8800
1,10,29056,62.214,14523,25.834,50.125,14540,42.657,52.039,0,21,4,5697,4,5697,11,8800,11,8800
1,11,29138,143.72,14523,25.834,50.125,14621,123.92,134.5,0,21,4,5697,4,5697,11,8800,11,8800
1,12,29038,44.035,14523,25.834,50.125,14528,31.036,60.676,0,21,4,5697,4,5697,11,8800,11,8800
1,13,29067,72.866,14523,25.834,50.125,14556,58.843,77.944,0,21,4,5697,4,5697,11,8800,11,8800
1,14,29030,35.904,14523,25.834,50.125,14520,22.553,43.86,0,21,4,5697,4,5697,11,8800,11,8800
1,15,29083,88.633,14523,25.834,50.125,14568,70.892,83.34,0,21,4,5697,4,5697,11,8800,11,8800
1,16,29073,79.3,14523,25.834,50.125,14559,61.873,88.599,0,21,4,5697,4,5697,11,8800,11,8800
1,17,29090,95.576,14523,25.834,50.125,14576,78.565,97.114,0,21,4,5697,4,5697,11,8800,11,8800
1,18,29111,116.89,14523,25.834,50.125,14598,100.71,127.68,0,21,4,5697,4,5697,11,8800,11,8800
1,19,29026,32.12,14523,25.834,50.125,14510,13.051,26.278,0,21,4,5697,4,5697,11,8800,11,8800
1,20,29061,66.502,14523,25.834,50.125,14546,49.018,73.548,0,21,4,5697,4,5697,11,8800,11,8800
1,21,29018,23.849,14523,25.834,50.125,14507,10.28,43.145,0,21,4,5697,4,5697,11,8800,11,8800
1,22,29025,31.336,14523,25.834,50.125,14514,17.258,42.025,0,21,4,5697,4,5697,11,8800,11,8800
