cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28950,-43.751,14492,-4.8465,42.929,14465,-32.247,28.08,0,21,4,5697,4,5697,10,8800,10,8800
0,2,28954,-40.374,14492,-4.8465,42.929,14470,-26.571,47.583,0,21,4,5697,4,5697,10,8800,10,8800
0,3,28976,-18.157,14492,-4.8465,42.929,14493,-3.6259,59.537,0,21,4,5697,4,5697,10,8800,10,8800
0,4,28966,-28.08,14492,-4.8465,42.929,14481,-15.792,22.808,0,21,4,5697,4,5697,10,8800,10,8800
0,5,28986,-7.6291,14492,-4.8465,42.929,14507,9.8605,90.822,0,21,4,5697,4,5697,10,8800,10,8800
0,6,28996,2.4597,14492,-4.8465,42.929,14517,20.283,70.242,0,21,4,5697,4,5697,10,8800,10,8800
0,7,29009,14.782,14492,-4.8465,42.929,14530,32.894,104.55,0,21,4,5697,4,5697,10,8800,10,8800
0,8,28952,-42.369,14492,-4.8465,42.929,14469,-27.513,32.643,0,21,4,5697,4,5697,10,8800,10,8800
0,9,28973,-20.83,14492,-4.8465,42.929,14493,-4.4792,78.356,0,21,4,5697,4,5697,10,8800,10,8800
0,10,28968,-25.998,14492,-4.8465,42.929,14487,-9.5683,50.523,0,21,4,5697,4,5697,10,8800,10,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28987,-6.5345,14492,-4.8465,42.929,14508,10.978,82.13,0,21,4,5697,4,5697,10,8800,10,8800
0,13,29019,24.523,14492,-4.8465,42.929,14541,43.808,111.2,0,21,4,5697,4,5697,10,8800,10,8800
0,14,28952,-42.345,14492,-4.8465,42.929,14469,-27.535,36.793,0,21,4,5697,4,5697,10,8800,10,8800
0,15,28979,-14.79,14492,-4.8465,42.929,14498,0.69286,44.673,0,21,4,5697,4,5697,10,8800,10,8800
0,16,28984,-10.377,14492,-4.8465,42.929,14505,7.6073,81.727,0,21,4,5697,4,5697,10,8800,10,8800
0,17,28983,-10.83,14492,-4.8465,42.929,14504,6.7726,68.792,0,21,4,5697,4,5697,10,8800,10,8800
0,18,29004,10.308,14492,-4.8465,42.929,14526,28.698,90.999,0,21,4,5697,4,5697,10,8800,10,8800
0,19,28969,-24.635,14492,-4.8465,42.929,14485,-12.052,27.15,0,21,4,5697,4,5697,10,8800,10,8800
0,20,29041,46.845,14492,-4.8465,42.929,14565,67.629,67.629,0,21,4,5697,4,5697,10,8800,10,8800
0,21,28957,-37.322,14492,-4.8465,42.929,14473,-23.767,46.336,0,21,4,5697,4,5697,10,8800,10,8800
0,22,28975,-19.378,14492,-4.8465,42.929,14494,-2.6523,58.642,0,21,4,5697,4,5697,10,8800,10,8800
0,23,28969,-24.523,14492,-4.8465,42.929,14489,-8.4468,63.387,0,21,4,5697,4,5697,10,8800,10,8800
0,24,28975,-18.826,14492,-4.8465,42.929,14495,-2.0277,55.126,0,21,4,5697,4,5697,10,8800,10,8800
0,25,28971,-22.928,14492,-4.8465,42.929,14488,-9.3633,32.646,0,21,4,5697,4,5697,10,8800,10,8800
0,26,28988,-5.7299,14492,-4.8465,42.929,14503,6.3414,23.762,0,21,4,5697,4,5697,10,8800,10,8800
0,27,29050,55.723,14492,-4.8465,42.929,14573,76.359,156.5,0,21,4,5697,4,5697,10,8800,10,8800
0,28,28990,-3.6525,14492,-4.8465,42.929,14511,14.242,85.073,0,21,4,5697,4,5697,10,8800,10,8800
0,29,28983,-11.423,14492,-4.8465,42.929,14503,5.6076,70.825,0,21,4,5697,4,5697,10,8800,10,8800
0,30,29089,94.802,14492,-4.8465,42.929,14617,119.63,208.75,0,21,4,5697,4,5697,10,8800,10,8800
0,31,28954,-40.115,14492,-4.8465,42.929,14471,-26.205,56.309,0,21,4,5697,4,5697,10,8800,10,8800
1,2,28923,-70.855,14462,-35.479,28.08,14470,-26.571,47.583,0,21,4,5697,4,5697,10,8800,10,8800
1,3,28943,-51.024,14462,-35.479,28.08,14493,-3.6259,59.537,0,21,4,5697,4,5697,10,8800,10,8800
1,4,28938,-55.878,14462,-35.479,28.08,14481,-15.792,22.808,0,21,4,5697,4,5697,10,8800,10,8800
1,5,28953,-41.157,14462,-35.479,28.08,14507,9.8605,90.822,0,21,4,5697,4,5697,10,8800,10,8800
1,6,28962,-32.174,14462,-35.479,28.08,14517,20.283,70.242,0,21,4,5697,4,5697,10,8800,10,8800
1,7,28974,-20.491,14462,-35.479,28.08,14530,32.894,104.55,0,21,4,5697,4,5697,10,8800,10,8800
1,8,28923,-71.236,14462,-35.479,28.08,14469,-27.513,32.643,0,21,4,5697,4,5697,10,8800,10,8800
1,9,28940,-54.02,14462,-35.479,28.08,14493,-4.4792,78.356,0,21,4,5697,4,5697,10,8800,10,8800
1,10,28937,-57.46,14462,-35.479,28.08,14487,-9.5683,50.523,0,21,4,5697,4,5697,10,8800,10,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,28953,-41.134,14462,-35.479,28.08,14508,10.978,82.13,0,21,4,5697,4,5697,10,8800,10,8800
1,13,28982,-12.059,14462,-35.479,28.08,14541,43.808,111.2,0,21,4,5697,4,5697,10,8800,10,8800
1,14,28922,-72.007,14462,-35.479,28.08,14469,-27.535,36.793,0,21,4,5697,4,5697,10,8800,10,8800
1,15,28949,-45.134,14462,-35.479,28.08,14498,0.69286,44.673,0,21,4,5697,4,5697,10,8800,10,8800
1,16,28953,-40.988,14462,-35.479,28.08,14505,7.6073,81.727,0,21,4,5697,4,5697,10,8800,10,8800
1,17,28949,-44.594,14462,-35.479,28.08,14504,6.7726,68.792,0,21,4,5697,4,5697,10,8800,10,8800
1,18,28969,-25.261,14462,-35.479,28.08,14526,28.698,90.999,0,21,4,5697,4,5697,10,8800,10,8800
1,19,28941,-52.749,14462,-35.479,28.08,14485,-12.052,27.15,0,21,4,5697,4,5697,10,8800,10,8800
1,20,28998,3.538,14462,-35.479,28.08,14565,67.629,67.629,0,21,4,5697,4,5697,10,8800,10,8800
1,21,28927,-67.224,14462,-35.479,28.08,14473,-23.767,46.336,0,21,4,5697,4,5697,10,8800,10,8800
1,22,28943,-50.855,14462,-35.479,28.08,14494,-2.6523,58.642,0,21,4,5697,4,5697,10,8800,10,8800
1,23,28938,-56.374,14462,-35.479,28.08,14489,-8.4468,63.387,0,21,4,5697,4,5697,10,8800,10,8800
1,24,28944,-50.279,14462,-35.479,28.08,14495,-2.0277,55.126,0,21,4,5697,4,5697,10,8800,10,8800
