cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29172,177.51,14652,155.36,172.24,14528,31.031,50.125,0,21,4,5697,4,5697,10,8800,10,8800
0,2,29174,180.25,14652,155.36,172.24,14533,35.704,62.189,0,21,4,5697,4,5697,10,8800,10,8800
0,3,29178,184.19,14652,155.36,172.24,14534,37.193,55.338,0,21,4,5697,4,5697,10,8800,10,8800
0,4,29151,157.31,14652,155.36,172.24,14506,9.0056,19.758,0,21,4,5697,4,5697,10,8800,10,8800
0,5,29160,166.08,14652,155.36,172.24,14519,22.32,45.227,0,21,4,5697,4,5697,10,8800,10,8800
0,6,29256,261.56,14652,155.36,172.24,14605,108.49,122.54,0,21,4,5697,4,5697,10,8800,10,8800
0,7,29290,296.34,14652,155.36,172.24,14643,146.39,171.87,0,21,4,5697,4,5697,10,8800,10,8800
0,8,29170,175.8,14652,155.36,172.24,14529,32.158,47.792,0,21,4,5697,4,5697,10,8800,10,8800
0,9,29152,157.92,14652,155.36,172.24,14510,13.213,54.681,0,21,4,5697,4,5697,10,8800,10,8800
0,10,29188,193.92,14652,155.36,172.24,14540,42.658,52.039,0,21,4,5697,4,5697,10,8800,10,8800
0,11,29271,277.13,14652,155.36,172.24,14621,123.92,134.5,0,21,4,5697,4,5697,10,8800,10,8800
0,12,29166,171.94,14652,155.36,172.24,14528,31.036,60.676,0,21,4,5697,4,5697,10,8800,10,8800
0,13,29199,204.67,14652,155.36,172.24,14556,58.843,77.944,0,21,4,5697,4,5697,10,8800,10,8800
0,14,29160,165.57,14652,155.36,172.24,14520,22.553,43.86,0,21,4,5697,4,5697,10,8800,10,8800
0,15,29216,221.54,14652,155.36,172.24,14568,70.892,83.34,0,21,4,5697,4,5697,10,8800,10,8800
0,16,29203,209.46,14652,155.36,172.24,14559,61.873,88.599,0,21,4,5697,4,5697,10,8800,10,8800
0,17,29222,227.67,14652,155.36,172.24,14576,78.565,97.114,0,21,4,5697,4,5697,10,8800,10,8800
0,18,29244,249.58,14652,155.36,172.24,14598,100.71,127.68,0,21,4,5697,4,5697,10,8800,10,8800
0,19,29156,162.24,14652,155.36,172.24,14510,13.051,26.278,0,21,4,5697,4,5697,10,8800,10,8800
0,20,29193,198.71,14652,155.36,172.24,14546,49.018,73.548,0,21,4,5697,4,5697,10,8800,10,8800
0,21,29143,148.91,14652,155.36,172.24,14507,10.28,43.145,0,21,4,5697,4,5697,10,8800,10,8800
0,22,29153,158.6,14652,155.36,172.24,14514,17.258,42.025,0,21,4,5697,4,5697,10,8800,10,8800
0,23,29184,189.52,14652,155.36,172.24,14537,40.476,65.022,0,21,4,5697,4,5697,10,8800,10,8800
0,24,29156,162.38,14652,155.36,172.24,14523,25.617,58.381,0,21,4,5697,4,5697,10,8800,10,8800
0,25,29141,147.08,14652,155.36,172.24,14496,-0.93096,11.398,0,21,4,5697,4,5697,10,8800,10,8800
0,26,29180,186.23,14652,155.36,172.24,14531,33.601,39.194,0,21,4,5697,4,5697,10,8800,10,8800
0,27,29271,277.31,14652,155.36,172.24,14626,129.18,157.41,0,21,4,5697,4,5697,10,8800,10,8800
0,28,29255,261.14,14652,155.36,172.24,14610,112.97,139.19,0,21,4,5697,4,5697,10,8800,10,8800
0,29,29160,166.31,14652,155.36,172.24,14516,18.791,36.044,0,21,4,5697,4,5697,10,8800,10,8800
0,30,29160,165.8,14652,155.36,172.24,14518,21.363,38.517,0,21,4,5697,4,5697,10,8800,10,8800
0,31,29160,165.72,14652,155.36,172.24,14519,21.805,58.206,0,21,4,5697,4,5697,10,8800,10,8800
1,2,29045,51.14,14523,26.009,50.125,14533,35.704,62.189,0,21,4,5697,4,5697,10,8800,10,8800
1,3,29049,55.095,14523,26.009,50.125,14534,37.193,55.338,0,21,4,5697,4,5697,10,8800,10,8800
1,4,29022,28.334,14523,26.009,50.125,14506,9.0056,19.758,0,21,4,5697,4,5697,10,8800,10,8800
1,5,29032,38.203,14523,26.009,50.125,14519,22.32,45.227,0,21,4,5697,4,5697,10,8800,10,8800
1,6,29122,128.43,14523,26.009,50.125,14605,108.49,122.54,0,21,4,5697,4,5697,10,8800,10,8800
1,7,29158,163.75,14523,26.009,50.125,14643,146.39,171.87,0,21,4,5697,4,5697,10,8800,10,8800
1,8,29043,48.933,14523,26.009,50.125,14529,32.158,47.792,0,21,4,5697,4,5697,10,8800,10,8800
1,9,29024,29.521,14523,26.009,50.125,14510,13.213,54.681,0,21,4,5697,4,5697,10,8800,10,8800
1,10,29057,62.503,14523,26.009,50.125,14540,42.658,52.039,0,21,4,5697,4,5697,10,8800,10,8800
1,11,29138,144.01,14523,26.009,50.125,14621,123.92,134.5,0,21,4,5697,4,5697,10,8800,10,8800
1,12,29039,44.918,14523,26.009,50.125,14528,31.036,60.676,0,21,4,5697,4,5697,10,8800,10,8800
1,13,29067,73.309,14523,26.009,50.125,14556,58.843,77.944,0,21,4,5697,4,5697,10,8800,10,8800
1,14,29031,36.536,14523,26.009,50.125,14520,22.553,43.86,0,21,4,5697,4,5697,10,8800,10,8800
1,15,29083,88.922,14523,26.009,50.125,14568,70.892,83.34,0,21,4,5697,4,5697,10,8800,10,8800
1,16,29074,79.713,14523,26.009,50.125,14559,61.873,88.599,0,21,4,5697,4,5697,10,8800,10,8800
1,17,29090,96.041,14523,26.009,50.125,14576,78.565,97.114,0,21,4,5697,4,5697,10,8800,10,8800
1,18,29111,117.4,14523,26.009,50.125,14598,100.71,127.68,0,21,4,5697,4,5697,10,8800,10,8800
1,19,29026,32.471,14523,26.009,50.125,14510,13.051,26.278,0,21,4,5697,4,5697,10,8800,10,8800
1,20,29061,67.029,14523,26.009,50.125,14546,49.018,73.548,0,21,4,5697,4,5697,10,8800,10,8800
1,21,29018,24.325,14523,26.009,50.125,14507,10.28,43.145,0,21,4,5697,4,5697,10,8800,10,8800
1,22,29026,32.17,14523,26.009,50.125,14514,17.258,42.025,0,21,4,5697,4,5697,10,8800,10,8800
1,23,29052,58.492,14523,26.009,50.125,14537,40.476,65.022,0,21,4,5697,4,5697,10,8800,10,8800
1,24,29031,37.154,14523,26.009,50.125,14523,25.617,58.381,0,21,4,5697,4,5697,10,8800,10,8800
1,25,29014,20.078,14523,26.009,50.125,14496,-0.93096,11.398,0,21,4,5697,4,5697,10,8800,10,8800
1,26,29048,53.929,14523,26.009,50.125,14531,33.601,39.194,0,21,4,5697,4,5697,10,8800,10,8800
1,27,29140,145.51,14523,26.009,50.125,14626,129.18,157.41,0,21,4,5697,4,5697,10,8800,10,8800
1,28,29123,129.04,14523,26.009,50.125,14610,112.97,139.19,0,21,4,5697,4,5697,10,8800,10,8800
1,29,29031,37.203,14523,26.009,50.125,14516,18.791,36.044,0,21,4,5697,4,5697,10,8800,10,8800
1,30,29030,36.467,14523,26.009,50.125,14518,21.363,38.517,0,21,4,5697,4,5697,10,8800,10,8800
1,31,29031,36.635,14523,26.009,50.125,14519,21.805,58.206,0,21,4,5697,4,5697,10,8800,10,8800
