cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29171,176.93,14652,155.09,172.24,14528,31.031,50.125,0,21,4,5697,4,5697,12,8800,12,8800
0,2,29173,179.47,14652,155.09,172.24,14533,35.704,62.189,0,21,4,5697,4,5697,12,8800,12,8800
0,3,29178,183.64,14652,155.09,172.24,14534,37.193,55.338,0,21,4,5697,4,5697,12,8800,12,8800
0,4,29151,156.77,14652,155.09,172.24,14506,9.0055,19.758,0,21,4,5697,4,5697,12,8800,12,8800
0,5,29160,165.51,14652,155.09,172.24,14519,22.32,45.227,0,21,4,5697,4,5697,12,8800,12,8800
0,6,29255,261.03,14652,155.09,172.24,14605,108.49,122.54,0,21,4,5697,4,5697,12,8800,12,8800
0,7,29290,295.79,14652,155.09,172.24,14643,146.39,171.87,0,21,4,5697,4,5697,12,8800,12,8800
0,8,29169,175.23,14652,155.09,172.24,14529,32.158,47.792,0,21,4,5697,4,5697,12,8800,12,8800
0,9,29151,157.33,14652,155.09,172.24,14510,13.213,54.681,0,21,4,5697,4,5697,12,8800,12,8800
0,10,29187,193.4,14652,155.09,172.24,14540,42.658,52.039,0,21,4,5697,4,5697,12,8800,12,8800
0,11,29271,276.6,14652,155.09,172.24,14621,123.92,134.5,0,21,4,5697,4,5697,12,8800,12,8800
0,12,29165,170.94,14652,155.09,172.24,14528,31.036,60.676,0,21,4,5697,4,5697,12,8800,12,8800
0,13,29198,204.09,14652,155.09,172.24,14556,58.843,77.944,0,21,4,5697,4,5697,12,8800,12,8800
0,14,29159,164.96,14652,155.09,172.24,14520,22.553,43.86,0,21,4,5697,4,5697,12,8800,12,8800
0,15,29215,221.02,14652,155.09,172.24,14568,70.892,83.34,0,21,4,5697,4,5697,12,8800,12,8800
0,16,29203,208.88,14652,155.09,172.24,14559,61.873,88.599,0,21,4,5697,4,5697,12,8800,12,8800
