cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,34203,-91.054,17131,-16.113,92.703,17090,-57.135,69.944,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,2,34205,-89.114,17131,-16.113,92.703,17098,-48.576,108.77,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,3,34250,-44.051,17131,-16.113,92.703,17149,1.524,136.2,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,4,34235,-59.392,17131,-16.113,92.703,17120,-27.434,51.782,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,5,34262,-32.405,17131,-16.113,92.703,17172,24.875,199.37,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,6,34286,-8.2167,17131,-16.113,92.703,17194,46.762,152.75,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,7,34297,3.0831,17131,-16.113,92.703,17221,74.229,225.98,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,8,34203,-90.531,17131,-16.113,92.703,17095,-51.847,71.753,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,9,34241,-53.435,17131,-16.113,92.703,17145,-2.0851,170.3,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,10,34232,-61.525,17131,-16.113,92.703,17133,-13.677,109.03,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,34266,-28.163,17131,-16.113,92.703,17179,31.813,181.55,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,13,34321,27.265,17131,-16.113,92.703,17248,100.79,244.03,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,14,34202,-91.968,17131,-16.113,92.703,17099,-48,86.437,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,15,34257,-36.703,17131,-16.113,92.703,17152,4.733,95.871,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,16,34257,-36.899,17131,-16.113,92.703,17161,13.78,169.08,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,17,34256,-37.623,17131,-16.113,92.703,17169,22.264,152.87,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,18,34292,-1.841,17131,-16.113,92.703,17211,64.015,197.27,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,19,34242,-52.177,17131,-16.113,92.703,17126,-21.352,60.429,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,20,34400,105.62,17131,-16.113,92.703,17295,147.96,147.96,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,21,34212,-81.58,17131,-16.113,92.703,17103,-44.337,97.768,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,22,34240,-54.216,17131,-16.113,92.703,17141,-6.4324,118.68,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,23,34238,-55.763,17131,-16.113,92.703,17133,-14.402,136.4,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,24,34245,-49.109,17131,-16.113,92.703,17151,4.2932,124.44,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,25,34245,-48.915,17131,-16.113,92.703,17131,-15.515,70.856,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,26,34278,-16.051,17131,-16.113,92.703,17163,16.059,53.173,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,27,34380,86.001,17131,-16.113,92.703,17313,165.96,332.69,0,25,4,5697,4,5697,28.8,11450,28.8,11450
