cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,34248,-45.95,17139,-8.247,42.929,17115,-32.247,28.08,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,2,34249,-44.886,17139,-8.247,42.929,17120,-26.571,47.583,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,3,34271,-22.849,17139,-8.247,42.929,17143,-3.6264,59.537,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,4,34264,-29.963,17139,-8.247,42.929,17131,-15.792,22.808,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,5,34279,-14.543,17139,-8.247,42.929,17157,9.8605,90.822,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,6,34288,-5.8829,17139,-8.247,42.929,17167,20.283,70.242,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,7,34295,1.3755,17139,-8.247,42.929,17180,32.894,104.55,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,8,34248,-45.622,17139,-8.247,42.929,17119,-27.513,32.643,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,9,34267,-27.048,17139,-8.247,42.929,17143,-4.4791,78.356,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,10,34263,-30.968,17139,-8.247,42.929,17137,-9.5682,50.523,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,34279,-14.737,17139,-8.247,42.929,17158,10.978,82.13,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,13,34306,12.204,17139,-8.247,42.929,17191,43.808,111.2,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,14,34247,-46.64,17139,-8.247,42.929,17119,-27.535,36.793,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,15,34275,-18.73,17139,-8.247,42.929,17148,0.69286,44.673,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,16,34275,-18.68,17139,-8.247,42.929,17155,7.6073,81.727,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,17,34274,-19.767,17139,-8.247,42.929,17154,6.7727,68.792,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,18,34292,-1.5996,17139,-8.247,42.929,17176,28.698,90.999,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,19,34267,-26.511,17139,-8.247,42.929,17135,-12.052,27.15,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,20,34335,41.39,17139,-8.247,42.929,17215,67.629,67.629,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,21,34253,-41.015,17139,-8.247,42.929,17123,-23.767,46.336,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,22,34267,-27.168,17139,-8.247,42.929,17144,-2.6522,58.642,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,23,34265,-29.213,17139,-8.247,42.929,17139,-8.4468,63.387,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,24,34269,-25.055,17139,-8.247,42.929,17145,-2.0277,55.126,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,25,34269,-24.615,17139,-8.247,42.929,17138,-9.3634,32.646,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,26,34286,-8.4891,17139,-8.247,42.929,17153,6.3414,23.762,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,27,34335,40.567,17139,-8.247,42.929,17223,76.359,156.5,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,28,34279,-15.413,17139,-8.247,42.929,17161,14.242,85.073,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,29,34277,-16.602,17139,-8.247,42.929,17153,5.6078,70.825,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,30,34377,82.705,17139,-8.247,42.929,17267,119.63,208.75,0,25,4,5697,4,5697,28.8,11450,28.8,11450
0,31,34251,-43.278,17139,-8.247,42.929,17121,-26.205,56.309,0,25,4,5697,4,5697,28.8,11450,28.8,11450
1,2,34222,-71.892,17111,-36.105,28.08,17120,-26.571,47.583,0,25,4,5697,4,5697,28.8,11450,28.8,11450
1,3,34242,-51.96,17111,-36.105,28.08,17143,-3.6264,59.537,0,25,4,5697,4,5697,28.8,11450,28.8,11450
