cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28904,-89.663,14482,-14.984,92.703,14440,-57.135,69.944,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,2,28906,-87.663,14482,-14.984,92.703,14448,-48.576,108.77,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,3,28952,-42.287,14482,-14.984,92.703,14499,1.524,136.2,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,4,28935,-59.392,14482,-14.984,92.703,14470,-27.434,51.782,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,5,28966,-28.249,14482,-14.984,92.703,14522,24.875,199.37,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,6,28989,-5.3173,14482,-14.984,92.703,14544,46.762,152.75,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,7,29003,9.4044,14482,-14.984,92.703,14571,74.229,225.98,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,8,28905,-88.627,14482,-14.984,92.703,14445,-51.847,71.753,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,9,28943,-51.177,14482,-14.984,92.703,14495,-2.0851,170.3,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,10,28933,-61.255,14482,-14.984,92.703,14483,-13.677,109.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28968,-25.872,14482,-14.984,92.703,14529,31.813,181.55,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,13,29027,33.348,14482,-14.984,92.703,14598,100.79,244.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,14,28904,-90.188,14482,-14.984,92.703,14449,-48,86.437,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,15,28959,-34.986,14482,-14.984,92.703,14502,4.7328,95.871,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,16,28959,-34.734,14482,-14.984,92.703,14511,13.78,169.08,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,17,28960,-33.884,14482,-14.984,92.703,14519,22.264,152.87,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,18,28997,2.9129,14482,-14.984,92.703,14561,64.015,197.27,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,19,28942,-52.177,14482,-14.984,92.703,14476,-21.353,60.429,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,20,29100,105.62,14482,-14.984,92.703,14645,147.96,147.96,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,21,28913,-80.959,14482,-14.984,92.703,14453,-44.337,97.768,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,22,28943,-50.71,14482,-14.984,92.703,14491,-6.4324,118.68,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,23,28940,-54.01,14482,-14.984,92.703,14483,-14.402,136.4,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,24,28947,-47.156,14482,-14.984,92.703,14501,4.2932,124.44,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,25,28945,-48.915,14482,-14.984,92.703,14481,-15.515,70.856,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,26,28980,-14.298,14482,-14.984,92.703,14513,16.059,53.173,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,27,29092,97.632,14482,-14.984,92.703,14663,165.96,332.69,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,28,28970,-23.849,14482,-14.984,92.703,14535,37.969,186.51,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,29,28964,-29.592,14482,-14.984,92.703,14518,20.512,157.41,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,30,29192,198.34,14482,-14.984,92.703,14764,266.79,464.81,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,31,28909,-85.312,14482,-14.984,92.703,14448,-49.264,120.52,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,2,28852,-141.5,14428,-68.913,69.944,14448,-48.576,108.77,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,3,28892,-102.13,14428,-68.913,69.944,14499,1.524,136.2,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,4,28884,-110.37,14428,-68.913,69.944,14470,-27.434,51.782,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,5,28904,-90.087,14428,-68.913,69.944,14522,24.875,199.37,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,6,28929,-64.908,14428,-68.913,69.944,14544,46.762,152.75,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,7,28938,-56.381,14428,-68.913,69.944,14571,74.229,225.98,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,8,28852,-142.19,14428,-68.913,69.944,14445,-51.847,71.753,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,9,28885,-109.41,14428,-68.913,69.944,14495,-2.0851,170.3,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,10,28880,-114.46,14428,-68.913,69.944,14483,-13.677,109.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,28910,-83.654,14428,-68.913,69.944,14529,31.813,181.55,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,13,28961,-32.959,14428,-68.913,69.944,14598,100.79,244.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,14,28851,-142.73,14428,-68.913,69.944,14449,-48,86.437,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,15,28904,-90.205,14428,-68.913,69.944,14502,4.7328,95.871,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,16,28904,-89.608,14428,-68.913,69.944,14511,13.78,169.08,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,17,28903,-91.371,14428,-68.913,69.944,14519,22.264,152.87,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,18,28935,-58.585,14428,-68.913,69.944,14561,64.015,197.27,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,19,28889,-104.79,14428,-68.913,69.944,14476,-21.353,60.429,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,20,29001,7.3365,14428,-68.913,69.944,14645,147.96,147.96,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,21,28860,-133.98,14428,-68.913,69.944,14453,-44.337,97.768,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,22,28889,-105.02,14428,-68.913,69.944,14491,-6.4324,118.68,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,23,28882,-111.98,14428,-68.913,69.944,14483,-14.402,136.4,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,24,28893,-100.7,14428,-68.913,69.944,14501,4.2932,124.44,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,25,28893,-100.82,14428,-68.913,69.944,14481,-15.515,70.856,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,26,28924,-69.618,14428,-68.913,69.944,14513,16.059,53.173,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,27,29017,23.034,14428,-68.913,69.944,14663,165.96,332.69,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,28,28915,-78.892,14428,-68.913,69.944,14535,37.969,186.51,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,29,28909,-84.696,14428,-68.913,69.944,14518,20.512,157.41,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,30,29103,108.91,14428,-68.913,69.944,14764,266.79,464.81,0,25,4,5697,4,5697,19.6,8800,19.6,8800
1,31,28855,-138.77,14428,-68.913,69.944,14448,-49.264,120.52,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,3,28894,-100.17,14427,-70.324,108.77,14499,1.524,136.2,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,4,28883,-111.44,14427,-70.324,108.77,14470,-27.434,51.782,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,5,28908,-85.794,14427,-70.324,108.77,14522,24.875,199.37,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,6,28930,-63.943,14427,-70.324,108.77,14544,46.762,152.75,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,7,28944,-49.79,14427,-70.324,108.77,14571,74.229,225.98,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,8,28851,-142.51,14427,-70.324,108.77,14445,-51.847,71.753,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,9,28887,-106.88,14427,-70.324,108.77,14495,-2.0851,170.3,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,10,28880,-114.39,14427,-70.324,108.77,14483,-13.677,109.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,28911,-82.639,14427,-70.324,108.77,14529,31.813,181.55,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,13,28966,-28.418,14427,-70.324,108.77,14598,100.79,244.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,14,28850,-143.5,14427,-70.324,108.77,14449,-48,86.437,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,15,28904,-89.65,14427,-70.324,108.77,14502,4.7328,95.871,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,16,28905,-88.997,14427,-70.324,108.77,14511,13.78,169.08,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,17,28903,-90.711,14427,-70.324,108.77,14519,22.264,152.87,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,18,28937,-56.54,14427,-70.324,108.77,14561,64.015,197.27,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,19,28889,-104.63,14427,-70.324,108.77,14476,-21.353,60.429,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,20,29006,12.094,14427,-70.324,108.77,14645,147.96,147.96,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,21,28860,-133.52,14427,-70.324,108.77,14453,-44.337,97.768,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,22,28889,-105.04,14427,-70.324,108.77,14491,-6.4324,118.68,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,23,28883,-110.81,14427,-70.324,108.77,14483,-14.402,136.4,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,24,28892,-101.7,14427,-70.324,108.77,14501,4.2932,124.44,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,25,28893,-100.69,14427,-70.324,108.77,14481,-15.515,70.856,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,26,28925,-68.785,14427,-70.324,108.77,14513,16.059,53.173,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,27,29025,31.107,14427,-70.324,108.77,14663,165.96,332.69,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,28,28914,-80.179,14427,-70.324,108.77,14535,37.969,186.51,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,29,28908,-86.252,14427,-70.324,108.77,14518,20.512,157.41,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,30,29110,116.25,14427,-70.324,108.77,14764,266.79,464.81,0,25,4,5697,4,5697,19.6,8800,19.6,8800
2,31,28856,-137.93,14427,-70.324,108.77,14448,-49.264,120.52,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,4,28923,-71.311,14473,-24.121,136.2,14470,-27.434,51.782,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,5,28955,-38.715,14473,-24.121,136.2,14522,24.875,199.37,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,6,28980,-13.69,14473,-24.121,136.2,14544,46.762,152.75,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,7,28991,-2.5723,14473,-24.121,136.2,14571,74.229,225.98,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,8,28892,-101.96,14473,-24.121,136.2,14445,-51.847,71.753,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,9,28930,-64.128,14473,-24.121,136.2,14495,-2.0851,170.3,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,10,28920,-73.908,14473,-24.121,136.2,14483,-13.677,109.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,28956,-37.777,14473,-24.121,136.2,14529,31.813,181.55,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,13,29017,23.156,14473,-24.121,136.2,14598,100.79,244.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,14,28891,-102.87,14473,-24.121,136.2,14449,-48,86.437,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,15,28947,-46.573,14473,-24.121,136.2,14502,4.7328,95.871,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,16,28947,-47.424,14473,-24.121,136.2,14511,13.78,169.08,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,17,28948,-46.016,14473,-24.121,136.2,14519,22.264,152.87,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,18,28986,-8.0002,14473,-24.121,136.2,14561,64.015,197.27,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,19,28931,-63.231,14473,-24.121,136.2,14476,-21.353,60.429,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,20,29081,87.191,14473,-24.121,136.2,14645,147.96,147.96,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,21,28900,-93.577,14473,-24.121,136.2,14453,-44.337,97.768,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,22,28930,-63.855,14473,-24.121,136.2,14491,-6.4324,118.68,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,23,28925,-68.879,14473,-24.121,136.2,14483,-14.402,136.4,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,24,28934,-59.705,14473,-24.121,136.2,14501,4.2932,124.44,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,25,28934,-60.436,14473,-24.121,136.2,14481,-15.515,70.856,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,26,28971,-23.027,14473,-24.121,136.2,14513,16.059,53.173,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,27,29077,83.406,14473,-24.121,136.2,14663,165.96,332.69,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,28,28958,-35.617,14473,-24.121,136.2,14535,37.969,186.51,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,29,28954,-40.427,14473,-24.121,136.2,14518,20.512,157.41,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,30,29176,181.89,14473,-24.121,136.2,14764,266.79,464.81,0,25,4,5697,4,5697,19.6,8800,19.6,8800
3,31,28896,-97.91,14473,-24.121,136.2,14448,-49.264,120.52,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,5,28934,-59.947,14457,-40.074,51.782,14522,24.875,199.37,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,6,28959,-35.437,14457,-40.074,51.782,14544,46.762,152.75,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,7,28971,-23.388,14457,-40.074,51.782,14571,74.229,225.98,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,8,28881,-112.87,14457,-40.074,51.782,14445,-51.847,71.753,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,9,28915,-79.233,14457,-40.074,51.782,14495,-2.0851,170.3,0,25,4,5697,4,5697,19.6,8800,19.6,8800
4,10,28909,-84.631,14457,-40.074,51.782,14483,-13.677,109.03,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
