cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28903,-90.958,14481,-15.884,92.703,14440,-57.135,69.944,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,2,28905,-88.959,14481,-15.884,92.703,14448,-48.576,108.77,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,3,28950,-43.594,14481,-15.884,92.703,14499,1.524,136.2,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,4,28935,-59.392,14481,-15.884,92.703,14470,-27.434,51.782,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,5,28963,-31.49,14481,-15.884,92.703,14522,24.875,199.37,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,6,28986,-7.7596,14481,-15.884,92.703,14544,46.762,152.75,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,7,28998,3.9976,14481,-15.884,92.703,14571,74.229,225.98,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,8,28904,-90.074,14481,-15.884,92.703,14445,-51.847,71.753,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,9,28941,-52.978,14481,-15.884,92.703,14495,-2.0851,170.3,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,10,28932,-61.525,14481,-15.884,92.703,14483,-13.677,109.03,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28966,-27.706,14481,-15.884,92.703,14529,31.813,181.55,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,13,29022,27.722,14481,-15.884,92.703,14598,100.79,244.03,0,25,4,5697,4,5697,26.4,8800,26.4,8800
