cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28948,-45.723,14490,-7.3979,42.929,14465,-32.247,28.08,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,2,28950,-43.549,14490,-7.3979,42.929,14470,-26.571,47.583,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,3,28973,-21.231,14490,-7.3979,42.929,14493,-3.6264,59.537,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,4,28964,-29.963,14490,-7.3979,42.929,14481,-15.792,22.808,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,5,28981,-12.535,14490,-7.3979,42.929,14507,9.8605,90.822,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,6,28990,-4.0801,14490,-7.3979,42.929,14517,20.283,70.242,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,7,28999,4.7996,14490,-7.3979,42.929,14530,32.894,104.55,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,8,28949,-45.196,14490,-7.3979,42.929,14469,-27.513,32.643,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,9,28969,-25.349,14490,-7.3979,42.929,14493,-4.4792,78.356,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,10,28963,-30.857,14490,-7.3979,42.929,14487,-9.5683,50.523,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28981,-13.033,14490,-7.3979,42.929,14508,10.978,82.13,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,13,29009,14.884,14490,-7.3979,42.929,14541,43.808,111.2,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,14,28949,-45.427,14490,-7.3979,42.929,14469,-27.535,36.793,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,15,28977,-17.419,14490,-7.3979,42.929,14498,0.69286,44.673,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,16,28976,-17.642,14490,-7.3979,42.929,14505,7.6073,81.727,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,17,28976,-18.09,14490,-7.3979,42.929,14504,6.7726,68.792,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,18,28995,0.93531,14490,-7.3979,42.929,14526,28.698,90.999,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,19,28967,-26.511,14490,-7.3979,42.929,14485,-12.052,27.15,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,20,29038,44.04,14490,-7.3979,42.929,14565,67.629,67.629,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,21,28954,-40.443,14490,-7.3979,42.929,14473,-23.767,46.336,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,22,28970,-23.936,14490,-7.3979,42.929,14494,-2.6523,58.642,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,23,28966,-27.597,14490,-7.3979,42.929,14489,-8.4468,63.387,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,24,28970,-24.16,14490,-7.3979,42.929,14495,-2.0277,55.126,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,25,28969,-24.615,14490,-7.3979,42.929,14488,-9.3634,32.646,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,26,28986,-7.7875,14490,-7.3979,42.929,14503,6.3414,23.762,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,27,29039,45.127,14490,-7.3979,42.929,14573,76.359,156.5,0,25,4,5697,4,5697,19.6,8800,19.6,8800
0,28,28982,-11.943,14490,-7.3979,42.929,14511,14.242,85.073,0,25,4,5697,4,5697,19.6,8800,19.6,8800
