cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,28948,-45.935,14489,-8.0361,42.929,14465,-32.247,28.08,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,2,28949,-44.744,14489,-8.0361,42.929,14470,-26.571,47.583,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,3,28972,-22.428,14489,-8.0361,42.929,14493,-3.6264,59.537,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,4,28964,-29.963,14489,-8.0361,42.929,14481,-15.792,22.808,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,5,28980,-14.047,14489,-8.0361,42.929,14507,9.8605,90.822,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,6,28989,-5.4614,14489,-8.0361,42.929,14517,20.283,70.242,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,7,28996,1.8718,14489,-8.0361,42.929,14530,32.894,104.55,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,8,28948,-45.546,14489,-8.0361,42.929,14469,-27.513,32.643,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,9,28967,-26.626,14489,-8.0361,42.929,14493,-4.4791,78.356,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,10,28963,-30.967,14489,-8.0361,42.929,14487,-9.5684,50.523,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,28980,-14.315,14489,-8.0361,42.929,14508,10.978,82.13,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,13,29007,12.625,14489,-8.0361,42.929,14541,43.808,111.2,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,14,28947,-46.64,14489,-8.0361,42.929,14469,-27.535,36.793,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,15,28975,-18.613,14489,-8.0361,42.929,14498,0.69286,44.673,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,16,28975,-18.68,14489,-8.0361,42.929,14505,7.6073,81.727,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,17,28974,-19.609,14489,-8.0361,42.929,14504,6.7726,68.792,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,18,28993,-1.1781,14489,-8.0361,42.929,14526,28.698,90.999,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,19,28967,-26.511,14489,-8.0361,42.929,14485,-12.052,27.15,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,20,29036,42.075,14489,-8.0361,42.929,14565,67.629,67.629,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,21,28953,-41.015,14489,-8.0361,42.929,14473,-23.767,46.336,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,22,28968,-26.325,14489,-8.0361,42.929,14494,-2.6523,58.642,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,23,28965,-28.792,14489,-8.0361,42.929,14489,-8.4468,63.387,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,24,28969,-24.981,14489,-8.0361,42.929,14495,-2.0277,55.126,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,25,28969,-24.615,14489,-8.0361,42.929,14488,-9.3634,32.646,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,26,28986,-8.4139,14489,-8.0361,42.929,14503,6.3414,23.762,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,27,29036,41.54,14489,-8.0361,42.929,14573,76.359,156.5,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,28,28979,-14.543,14489,-8.0361,42.929,14511,14.242,85.073,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,29,28977,-16.527,14489,-8.0361,42.929,14503,5.6077,70.825,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,30,29078,83.548,14489,-8.0361,42.929,14617,119.63,208.75,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,31,28951,-43.278,14489,-8.0361,42.929,14471,-26.205,56.309,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,2,28922,-71.817,14461,-36.03,28.08,14470,-26.571,47.583,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,3,28942,-51.943,14461,-36.03,28.08,14493,-3.6264,59.537,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,4,28937,-56.657,14461,-36.03,28.08,14481,-15.792,22.808,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,5,28948,-45.868,14461,-36.03,28.08,14507,9.8605,90.822,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,6,28960,-34.06,14461,-36.03,28.08,14517,20.283,70.242,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,7,28963,-30.984,14461,-36.03,28.08,14530,32.894,104.55,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,8,28922,-72.485,14461,-36.03,28.08,14469,-27.513,32.643,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,9,28937,-56.526,14461,-36.03,28.08,14493,-4.4791,78.356,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,10,28936,-58.432,14461,-36.03,28.08,14487,-9.5684,50.523,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,28950,-44.025,14461,-36.03,28.08,14508,10.978,82.13,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,13,28973,-21.182,14461,-36.03,28.08,14541,43.808,111.2,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,14,28921,-73.366,14461,-36.03,28.08,14469,-27.535,36.793,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,15,28948,-46.086,14461,-36.03,28.08,14498,0.69286,44.673,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,16,28948,-45.759,14461,-36.03,28.08,14505,7.6073,81.727,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,17,28947,-47.287,14461,-36.03,28.08,14504,6.7726,68.792,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,18,28962,-31.805,14461,-36.03,28.08,14526,28.698,90.999,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,19,28940,-53.504,14461,-36.03,28.08,14485,-12.052,27.15,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,20,28994,-0.26524,14461,-36.03,28.08,14565,67.629,67.629,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,21,28926,-67.994,14461,-36.03,28.08,14473,-23.767,46.336,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,22,28939,-54.84,14461,-36.03,28.08,14494,-2.6523,58.642,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,23,28937,-57.421,14461,-36.03,28.08,14489,-8.4468,63.387,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,24,28942,-52.015,14461,-36.03,28.08,14495,-2.0277,55.126,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,25,28943,-51.482,14461,-36.03,28.08,14488,-9.3634,32.646,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,26,28958,-35.675,14461,-36.03,28.08,14503,6.3414,23.762,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,27,28995,0.82698,14461,-36.03,28.08,14573,76.359,156.5,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,28,28951,-43.053,14461,-36.03,28.08,14511,14.242,85.073,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,29,28950,-44.099,14461,-36.03,28.08,14503,5.6077,70.825,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,30,29036,42.369,14461,-36.03,28.08,14617,119.63,208.75,0,25,4,5697,4,5697,26.4,8800,26.4,8800
1,31,28924,-70.278,14461,-36.03,28.08,14471,-26.205,56.309,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,3,28943,-50.831,14462,-35.349,47.583,14493,-3.6264,59.537,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,4,28938,-55.925,14462,-35.349,47.583,14481,-15.792,22.808,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,5,28952,-41.991,14462,-35.349,47.583,14507,9.8605,90.822,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,6,28961,-33.081,14462,-35.349,47.583,14517,20.283,70.242,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,7,28967,-26.712,14462,-35.349,47.583,14530,32.894,104.55,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,8,28922,-71.546,14462,-35.349,47.583,14469,-27.513,32.643,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,9,28940,-54.345,14462,-35.349,47.583,14493,-4.4791,78.356,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,10,28936,-57.503,14462,-35.349,47.583,14487,-9.5684,50.523,0,25,4,5697,4,5697,26.4,8800,26.4,8800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,28952,-42.199,14462,-35.349,47.583,14508,10.978,82.13,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,13,28977,-17.05,14462,-35.349,47.583,14541,43.808,111.2,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,14,28921,-72.509,14462,-35.349,47.583,14469,-27.535,36.793,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,15,28949,-45.097,14462,-35.349,47.583,14498,0.69286,44.673,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,16,28949,-44.765,14462,-35.349,47.583,14505,7.6073,81.727,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,17,28948,-46.362,14462,-35.349,47.583,14504,6.7726,68.792,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,18,28964,-29.655,14462,-35.349,47.583,14526,28.698,90.999,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,19,28941,-52.559,14462,-35.349,47.583,14485,-12.052,27.15,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,20,28998,3.576,14462,-35.349,47.583,14565,67.629,67.629,0,25,4,5697,4,5697,26.4,8800,26.4,8800
2,21,28927,-67.016,14462,-35.349,47.583,14473,-23.767,46.336,0,25,4,5697,4,5697,26.4,8800,26.4,8800
