cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29167,172.96,14650,153.21,172.24,14528,31.031,50.125,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,2,29169,175.48,14650,153.21,172.24,14533,35.704,62.189,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,3,29174,179.85,14650,153.21,172.24,14534,37.194,55.338,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,4,29147,153,14650,153.21,172.24,14506,9.0056,19.758,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,5,29156,161.57,14650,153.21,172.24,14519,22.32,45.227,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,6,29251,257.26,14650,153.21,172.24,14605,108.49,122.54,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,7,29286,292.01,14650,153.21,172.24,14643,146.39,171.87,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,8,29165,171.3,14650,153.21,172.24,14529,32.158,47.792,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,9,29147,153.31,14650,153.21,172.24,14510,13.213,54.681,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,10,29184,189.63,14650,153.21,172.24,14540,42.657,52.039,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,11,29267,272.83,14650,153.21,172.24,14621,123.92,134.5,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,12,29160,165.88,14650,153.21,172.24,14528,31.036,60.676,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,13,29194,200.25,14650,153.21,172.24,14556,58.843,77.944,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,14,29155,160.97,14650,153.21,172.24,14520,22.553,43.86,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,15,29211,217.25,14650,153.21,172.24,14568,70.892,83.34,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,16,29199,205,14650,153.21,172.24,14559,61.873,88.599,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,17,29217,223.35,14650,153.21,172.24,14576,78.565,97.114,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,18,29239,245.13,14650,153.21,172.24,14598,100.71,127.68,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,19,29152,157.92,14650,153.21,172.24,14510,13.051,26.278,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,20,29188,194.37,14650,153.21,172.24,14546,49.018,73.548,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,21,29137,143.31,14650,153.21,172.24,14507,10.28,43.145,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,22,29147,153.13,14650,153.21,172.24,14514,17.258,42.025,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,23,29179,185.04,14650,153.21,172.24,14537,40.476,65.022,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,24,29150,156.42,14650,153.21,172.24,14523,25.617,58.381,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,25,29137,142.73,14650,153.21,172.24,14496,-0.9312,11.398,0,21,4,5697,4,5697,26.4,8800,26.4,8800
0,26,29176,181.94,14650,153.21,172.24,14531,33.601,39.194,0,21,4,5697,4,5697,26.4,8800,26.4,8800
