cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,34466,172.33,17300,152.89,172.24,17178,31.031,50.125,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,2,34469,174.86,17300,152.89,172.24,17183,35.704,62.189,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,3,34473,179.22,17300,152.89,172.24,17184,37.193,55.338,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,4,34446,152.37,17300,152.89,172.24,17156,9.0056,19.758,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,5,34455,160.94,17300,152.89,172.24,17169,22.32,45.227,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,6,34551,256.63,17300,152.89,172.24,17255,108.49,122.54,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,7,34585,291.38,17300,152.89,172.24,17293,146.39,171.87,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,8,34465,170.68,17300,152.89,172.24,17179,32.158,47.792,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,9,34447,152.68,17300,152.89,172.24,17160,13.213,54.681,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,10,34483,189,17300,152.89,172.24,17190,42.657,52.039,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,11,34566,272.21,17300,152.89,172.24,17271,123.92,134.5,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,12,34459,165.19,17300,152.89,172.24,17178,31.036,60.676,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,13,34494,199.62,17300,152.89,172.24,17206,58.843,77.944,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,14,34454,160.34,17300,152.89,172.24,17170,22.553,43.86,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,15,34511,216.62,17300,152.89,172.24,17218,70.892,83.34,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,16,34498,204.38,17300,152.89,172.24,17209,61.873,88.599,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,17,34517,222.72,17300,152.89,172.24,17226,78.565,97.114,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,18,34539,244.5,17300,152.89,172.24,17248,100.71,127.68,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,19,34451,157.3,17300,152.89,172.24,17160,13.051,26.278,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,20,34488,193.74,17300,152.89,172.24,17196,49.018,73.548,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,21,34437,142.61,17300,152.89,172.24,17157,10.28,43.145,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,22,34446,152.47,17300,152.89,172.24,17164,17.258,42.025,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,23,34478,184.41,17300,152.89,172.24,17187,40.476,65.022,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,24,34450,155.73,17300,152.89,172.24,17173,25.617,58.381,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,25,34436,142.1,17300,152.89,172.24,17146,-0.9312,11.398,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,26,34475,181.31,17300,152.89,172.24,17181,33.601,39.194,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,27,34566,272.36,17300,152.89,172.24,17276,129.18,157.41,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,28,34550,256.06,17300,152.89,172.24,17260,112.97,139.19,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,29,34455,161.31,17300,152.89,172.24,17166,18.791,36.044,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,30,34455,160.74,17300,152.89,172.24,17168,21.363,38.517,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,31,34454,160.31,17300,152.89,172.24,17169,21.805,58.206,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,2,34339,44.559,17170,22.708,50.125,17183,35.704,62.189,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,3,34343,49.22,17170,22.708,50.125,17184,37.193,55.338,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,4,34317,22.511,17170,22.708,50.125,17156,9.0056,19.758,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,5,34326,31.744,17170,22.708,50.125,17169,22.32,45.227,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,6,34417,123.3,17170,22.708,50.125,17255,108.49,122.54,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,7,34452,158.27,17170,22.708,50.125,17293,146.39,171.87,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,8,34336,42.355,17170,22.708,50.125,17179,32.158,47.792,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,9,34317,23.37,17170,22.708,50.125,17160,13.213,54.681,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,10,34351,57.07,17170,22.708,50.125,17190,42.657,52.039,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,11,34433,138.85,17170,22.708,50.125,17271,123.92,134.5,0,21,4,5697,4,5697,28.8,11450,28.8,11450
1,12,34331,36.843,17170,22.708,50.125,17178,31.036,60.676,0,21,4,5697,4,5697,28.8,11450,28.8,11450
