cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,34683,389.23,17507,360.32,393.09,17196,48.693,85.535,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,2,34711,416.54,17507,360.32,393.09,17225,77.836,133.49,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,3,34732,438.32,17507,360.32,393.09,17239,92.082,132.75,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,4,34664,369.84,17507,360.32,393.09,17169,21.584,43.967,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,5,34687,393.28,17507,360.32,393.09,17203,56.211,104.22,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,6,34888,594.18,17507,360.32,393.09,17383,236.34,266.73,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,7,34956,661.51,17507,360.32,393.09,17457,309.64,363.46,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,8,34706,411.59,17507,360.32,393.09,17220,73.243,105.56,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,9,34664,370.11,17507,360.32,393.09,17178,31.057,117.96,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,10,34735,441.22,17507,360.32,393.09,17235,88.021,107.56,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,11,34909,614.89,17507,360.32,393.09,17404,256.76,280.31,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,12,34692,397.92,17507,360.32,393.09,17218,70.71,131.89,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,13,34788,494.42,17507,360.32,393.09,17297,149.59,192.23,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,14,34688,394.18,17507,360.32,393.09,17203,55.958,101.41,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,15,34805,511.38,17507,360.32,393.09,17305,157.95,185.1,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,16,34757,463.4,17507,360.32,393.09,17266,118.72,172.99,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,17,34815,520.68,17507,360.32,393.09,17318,170.79,210.79,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,18,34854,560.47,17507,360.32,393.09,17360,213.06,269.47,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,19,34672,377.61,17507,360.32,393.09,17175,28.495,55.929,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,20,34753,458.93,17507,360.32,393.09,17255,107.91,160,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,21,34643,348.5,17507,360.32,393.09,17174,27.278,94.56,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,22,34668,373.79,17507,360.32,393.09,17191,43.871,95.817,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,23,34725,431.18,17507,360.32,393.09,17231,83.83,134.26,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,24,34677,383.15,17507,360.32,393.09,17211,64.39,133.36,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,25,34641,346.63,17507,360.32,393.09,17146,-0.69229,25.19,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,26,34725,431.45,17507,360.32,393.09,17221,74.194,85.897,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,27,34933,639.31,17507,360.32,393.09,17438,291.16,350.99,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,28,34883,589.4,17507,360.32,393.09,17391,243.63,297.01,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,29,34690,395.6,17507,360.32,393.09,17197,49.697,86.34,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,30,34683,388.66,17507,360.32,393.09,17196,48.954,85.69,0,21,4,5697,4,5697,28.8,11450,28.8,11450
0,31,34679,384.93,17507,360.32,393.09,17196,48.982,122.65,0,21,4,5697,4,5697,28.8,11450,28.8,11450
