cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29383,389.23,14857,360.32,393.09,14546,48.693,85.535,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,2,29411,416.54,14857,360.32,393.09,14575,77.836,133.49,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,3,29432,438.32,14857,360.32,393.09,14589,92.082,132.75,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,4,29364,369.84,14857,360.32,393.09,14519,21.584,43.967,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,5,29387,393.28,14857,360.32,393.09,14553,56.211,104.22,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,6,29588,594.18,14857,360.32,393.09,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,7,29656,661.51,14857,360.32,393.09,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,8,29406,411.59,14857,360.32,393.09,14570,73.243,105.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,9,29364,370.11,14857,360.32,393.09,14528,31.057,117.96,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,10,29435,441.22,14857,360.32,393.09,14585,88.021,107.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,11,29609,614.89,14857,360.32,393.09,14754,256.76,280.31,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,12,29392,397.92,14857,360.32,393.09,14568,70.71,131.89,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,13,29488,494.42,14857,360.32,393.09,14647,149.59,192.23,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,14,29388,394.18,14857,360.32,393.09,14553,55.958,101.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,15,29505,511.38,14857,360.32,393.09,14655,157.95,185.1,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,16,29457,463.4,14857,360.32,393.09,14616,118.72,172.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,17,29515,520.68,14857,360.32,393.09,14668,170.79,210.79,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,18,29554,560.47,14857,360.32,393.09,14710,213.06,269.47,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,19,29372,377.61,14857,360.32,393.09,14525,28.495,55.929,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,20,29453,458.93,14857,360.32,393.09,14605,107.92,160,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,21,29343,348.5,14857,360.32,393.09,14524,27.278,94.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,22,29368,373.79,14857,360.32,393.09,14541,43.871,95.817,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,23,29425,431.18,14857,360.32,393.09,14581,83.829,134.26,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,24,29377,383.15,14857,360.32,393.09,14561,64.39,133.36,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,25,29341,346.63,14857,360.32,393.09,14496,-0.69233,25.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,26,29425,431.45,14857,360.32,393.09,14571,74.194,85.897,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,27,29633,639.31,14857,360.32,393.09,14788,291.16,350.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,28,29583,589.4,14857,360.32,393.09,14741,243.63,297.01,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,29,29390,395.6,14857,360.32,393.09,14547,49.697,86.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,30,29383,388.66,14857,360.32,393.09,14546,48.954,85.69,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,31,29379,384.93,14857,360.32,393.09,14546,48.982,122.65,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,2,29084,89.753,14534,36.596,85.535,14575,77.836,133.49,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,3,29103,108.92,14534,36.596,85.535,14589,92.082,132.75,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,4,29037,43.157,14534,36.596,85.535,14519,21.584,43.967,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,5,29065,70.762,14534,36.596,85.535,14553,56.211,104.22,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,6,29257,263.36,14534,36.596,85.535,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,7,29325,331.36,14534,36.596,85.535,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,8,29082,88.28,14534,36.596,85.535,14570,73.243,105.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,9,29038,43.672,14534,36.596,85.535,14528,31.057,117.96,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,10,29106,112.08,14534,36.596,85.535,14585,88.021,107.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,11,29278,283.99,14534,36.596,85.535,14754,256.76,280.31,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,12,29066,72.434,14534,36.596,85.535,14568,70.71,131.89,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,13,29161,166.81,14534,36.596,85.535,14647,149.59,192.23,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,14,29061,66.719,14534,36.596,85.535,14553,55.958,101.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,15,29175,181.34,14534,36.596,85.535,14655,157.95,185.1,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,16,29130,136.39,14534,36.596,85.535,14616,118.72,172.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,17,29186,191.56,14534,36.596,85.535,14668,170.79,210.79,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,18,29225,230.92,14534,36.596,85.535,14710,213.06,269.47,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,19,29044,50.459,14534,36.596,85.535,14525,28.495,55.929,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,20,29124,129.78,14534,36.596,85.535,14605,107.92,160,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,21,29027,33.122,14534,36.596,85.535,14524,27.278,94.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,22,29044,49.819,14534,36.596,85.535,14541,43.871,95.817,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,23,29098,103.98,14534,36.596,85.535,14581,83.829,134.26,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,24,29055,60.692,14534,36.596,85.535,14561,64.39,133.36,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,25,29019,25.227,14534,36.596,85.535,14496,-0.69233,25.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,26,29096,101.98,14534,36.596,85.535,14571,74.194,85.897,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,27,29304,309.58,14534,36.596,85.535,14788,291.16,350.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,28,29254,259.83,14534,36.596,85.535,14741,243.63,297.01,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,29,29063,69.322,14534,36.596,85.535,14547,49.697,86.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,30,29056,62.324,14534,36.596,85.535,14546,48.954,85.69,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,31,29055,60.855,14534,36.596,85.535,14546,48.982,122.65,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,3,29131,136.62,14556,58.626,133.49,14589,92.082,132.75,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,4,29064,69.888,14556,58.626,133.49,14519,21.584,43.967,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,5,29089,94.716,14556,58.626,133.49,14553,56.211,104.22,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,6,29285,290.81,14556,58.626,133.49,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,7,29353,358.97,14556,58.626,133.49,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,8,29106,111.73,14556,58.626,133.49,14570,73.243,105.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,9,29064,70.21,14556,58.626,133.49,14528,31.057,117.96,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,10,29133,139.28,14556,58.626,133.49,14585,88.021,107.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,11,29305,311.08,14556,58.626,133.49,14754,256.76,280.31,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,12,29095,101.04,14556,58.626,133.49,14568,70.71,131.89,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,13,29188,194.02,14556,58.626,133.49,14647,149.59,192.23,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,14,29089,94.617,14556,58.626,133.49,14553,55.958,101.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,15,29203,208.89,14556,58.626,133.49,14655,157.95,185.1,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,16,29157,163.22,14556,58.626,133.49,14616,118.72,172.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,17,29213,218.68,14556,58.626,133.49,14668,170.79,210.79,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,18,29252,258.48,14556,58.626,133.49,14710,213.06,269.47,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,19,29071,77.173,14556,58.626,133.49,14525,28.495,55.929,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,20,29151,157.32,14556,58.626,133.49,14605,107.92,160,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,21,29046,51.926,14556,58.626,133.49,14524,27.278,94.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,22,29070,76.199,14556,58.626,133.49,14541,43.871,95.817,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,23,29124,129.92,14556,58.626,133.49,14581,83.829,134.26,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,24,29082,87.822,14556,58.626,133.49,14561,64.39,133.36,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,25,29041,46.731,14556,58.626,133.49,14496,-0.69233,25.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,26,29123,129.24,14556,58.626,133.49,14571,74.194,85.897,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,27,29331,337.23,14556,58.626,133.49,14788,291.16,350.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,28,29282,287.56,14556,58.626,133.49,14741,243.63,297.01,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,29,29090,95.908,14556,58.626,133.49,14547,49.697,86.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,30,29083,89.148,14556,58.626,133.49,14546,48.954,85.69,0,21,4,5697,4,5697,19.6,8800,19.6,8800
2,31,29079,84.61,14556,58.626,133.49,14546,48.982,122.65,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,4,29084,89.54,14577,80.16,132.75,14519,21.584,43.967,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,5,29108,113.88,14577,80.16,132.75,14553,56.211,104.22,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,6,29306,312.48,14577,80.16,132.75,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,7,29374,380.32,14577,80.16,132.75,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,8,29126,131.6,14577,80.16,132.75,14570,73.243,105.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,9,29084,90.041,14577,80.16,132.75,14528,31.057,117.96,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,10,29154,160.43,14577,80.16,132.75,14585,88.021,107.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,11,29327,332.81,14577,80.16,132.75,14754,256.76,280.31,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,12,29115,121.17,14577,80.16,132.75,14568,70.71,131.89,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,13,29208,213.86,14577,80.16,132.75,14647,149.59,192.23,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,14,29109,114.55,14577,80.16,132.75,14553,55.958,101.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,15,29224,230.39,14577,80.16,132.75,14655,157.95,185.1,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,16,29177,182.62,14577,80.16,132.75,14616,118.72,172.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,17,29234,239.81,14577,80.16,132.75,14668,170.79,210.79,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,18,29274,279.76,14577,80.16,132.75,14710,213.06,269.47,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,19,29092,97.578,14577,80.16,132.75,14525,28.495,55.929,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,20,29172,178.36,14577,80.16,132.75,14605,107.92,160,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,21,29066,71.94,14577,80.16,132.75,14524,27.278,94.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,22,29089,94.706,14577,80.16,132.75,14541,43.871,95.817,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,23,29145,150.68,14577,80.16,132.75,14581,83.829,134.26,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,24,29101,106.54,14577,80.16,132.75,14561,64.39,133.36,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,25,29061,67.042,14577,80.16,132.75,14496,-0.69233,25.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,26,29145,150.53,14577,80.16,132.75,14571,74.194,85.897,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,27,29352,358.39,14577,80.16,132.75,14788,291.16,350.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,28,29303,308.71,14577,80.16,132.75,14741,243.63,297.01,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,29,29110,115.56,14577,80.16,132.75,14547,49.697,86.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,30,29103,109.01,14577,80.16,132.75,14546,48.954,85.69,0,21,4,5697,4,5697,19.6,8800,19.6,8800
3,31,29099,105.48,14577,80.16,132.75,14546,48.982,122.65,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,5,29045,50.749,14509,11.737,43.967,14553,56.211,104.22,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,6,29238,244.05,14509,11.737,43.967,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,7,29306,311.94,14509,11.737,43.967,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,8,29059,65.24,14509,11.737,43.967,14570,73.243,105.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,9,29017,23.098,14509,11.737,43.967,14528,31.057,117.96,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,10,29086,92.383,14509,11.737,43.967,14585,88.021,107.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,11,29258,264.5,14509,11.737,43.967,14754,256.76,280.31,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,12,29046,51.996,14509,11.737,43.967,14568,70.71,131.89,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,13,29143,148.61,14509,11.737,43.967,14647,149.59,192.23,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,14,29042,48.029,14509,11.737,43.967,14553,55.958,101.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,15,29156,161.75,14509,11.737,43.967,14655,157.95,185.1,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,16,29110,116.31,14509,11.737,43.967,14616,118.72,172.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,17,29166,171.69,14509,11.737,43.967,14668,170.79,210.79,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,18,29205,211.31,14509,11.737,43.967,14710,213.06,269.47,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,19,29024,30.46,14509,11.737,43.967,14525,28.495,55.929,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,20,29104,109.94,14509,11.737,43.967,14605,107.92,160,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,21,29002,8.1913,14509,11.737,43.967,14524,27.278,94.56,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,22,29022,27.863,14509,11.737,43.967,14541,43.871,95.817,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,23,29077,82.5,14509,11.737,43.967,14581,83.829,134.26,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,24,29033,38.693,14509,11.737,43.967,14561,64.39,133.36,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,25,28997,2.7714,14509,11.737,43.967,14496,-0.69233,25.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,26,29076,81.935,14509,11.737,43.967,14571,74.194,85.897,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,27,29284,290.3,14509,11.737,43.967,14788,291.16,350.99,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,28,29235,240.63,14509,11.737,43.967,14741,243.63,297.01,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,29,29044,49.613,14509,11.737,43.967,14547,49.697,86.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,30,29037,42.503,14509,11.737,43.967,14546,48.954,85.69,0,21,4,5697,4,5697,19.6,8800,19.6,8800
4,31,29032,37.987,14509,11.737,43.967,14546,48.982,122.65,0,21,4,5697,4,5697,19.6,8800,19.6,8800
5,6,29262,267.81,14538,41.149,104.22,14733,236.34,266.73,0,21,4,5697,4,5697,19.6,8800,19.6,8800
5,7,29330,335.9,14538,41.149,104.22,14807,309.64,363.46,0,21,4,5697,4,5697,19.6,8800,19.6,8800
