cust1,cust2,dc_cost,dc_op_cost,cust1_cost,cust1_op_cost,cust1_no_der_op_cost,cust2_cost,cust2_op_cost,cust2_no_der_op_cost,dissimilarity,simulation_days,PV1_peak,PV1_cost,PV2_peak,PV2_cost,Battery1_capacity,Battery1_cost,Battery2_capacity,Battery2_cost
0,1,29169,174.77,14651,154.1,172.24,14528,31.031,50.125,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,2,29171,177.3,14651,154.1,172.24,14533,35.704,62.189,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,3,29176,181.63,14651,154.1,172.24,14534,37.193,55.338,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,4,29149,154.78,14651,154.1,172.24,14506,9.0055,19.758,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,5,29157,163.37,14651,154.1,172.24,14519,22.32,45.227,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,6,29253,259.04,14651,154.1,172.24,14605,108.49,122.54,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,7,29288,293.79,14651,154.1,172.24,14643,146.39,171.87,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,8,29167,173.11,14651,154.1,172.24,14529,32.158,47.792,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,9,29149,155.15,14651,154.1,172.24,14510,13.213,54.681,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,10,29185,191.41,14651,154.1,172.24,14540,42.657,52.039,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,11,29269,274.61,14651,154.1,172.24,14621,123.92,134.5,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,12,29162,167.85,14651,154.1,172.24,14528,31.036,60.676,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,13,29196,202.03,14651,154.1,172.24,14556,58.843,77.944,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,14,29157,162.83,14651,154.1,172.24,14520,22.553,43.86,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,15,29213,219.03,14651,154.1,172.24,14568,70.892,83.34,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,16,29201,206.78,14651,154.1,172.24,14559,61.873,88.599,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,17,29219,225.13,14651,154.1,172.24,14576,78.565,97.114,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,18,29241,246.93,14651,154.1,172.24,14598,100.71,127.68,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,19,29154,159.7,14651,154.1,172.24,14510,13.051,26.278,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,20,29190,196.15,14651,154.1,172.24,14546,49.018,73.548,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,21,29139,145.27,14651,154.1,172.24,14507,10.28,43.145,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,22,29149,155.09,14651,154.1,172.24,14514,17.258,42.025,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,23,29181,186.87,14651,154.1,172.24,14537,40.476,65.022,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,24,29152,158.39,14651,154.1,172.24,14523,25.617,58.381,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,25,29139,144.51,14651,154.1,172.24,14496,-0.9312,11.398,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,26,29178,183.72,14651,154.1,172.24,14531,33.601,39.194,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,27,29269,274.77,14651,154.1,172.24,14626,129.18,157.41,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,28,29252,258.47,14651,154.1,172.24,14610,112.97,139.19,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,29,29158,163.72,14651,154.1,172.24,14516,18.791,36.044,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,30,29157,163.15,14651,154.1,172.24,14518,21.363,38.517,0,21,4,5697,4,5697,19.6,8800,19.6,8800
0,31,29157,162.87,14651,154.1,172.24,14519,21.805,58.206,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,2,29041,47.218,14521,24.324,50.125,14533,35.704,62.189,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,3,29046,51.879,14521,24.324,50.125,14534,37.193,55.338,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,4,29019,25.169,14521,24.324,50.125,14506,9.0055,19.758,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,5,29029,34.689,14521,24.324,50.125,14519,22.32,45.227,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,6,29120,125.71,14521,24.324,50.125,14605,108.49,122.54,0,21,4,5697,4,5697,19.6,8800,19.6,8800
1,7,29155,160.9,14521,24.324,50.125,14643,146.39,171.87,0,21,4,5697,4,5697,19.6,8800,19.6,8800
