,,equal,,,prop,,,nash,,,optimal
0,"[1, 14]",7.980500000000003,2,1,9.52581342889108,30,1,19.590999999999994,1,13,30.441000000000017
1,"[2, 19]",3.509999999999998,1,2,9.20518657110891,9,2,9.0619,2,30,33.194
2,"[3, 23]",3.884000000000011,23,3,8.799011534550488,22,3,10.936850000000003,3,17,21.4088
3,"[4, 21]",7.7250499999999995,22,4,8.94565263820726,18,4,10.915049999999994,4,9,20.572699999999998
4,"[5, 22]",11.257,15,5,9.89970056598003,16,5,11.712399999999999,5,16,23.424800000000005
5,"[6, 28]",4.204999999999997,13,6,11.78292069184468,24,6,15.329150000000006,6,24,30.658299999999983
6,"[7, 30]",27.449000000000005,18,7,9.121255527043836,29,7,11.433300000000003,7,21,27.908000000000015
7,"[8, 31]",6.405999999999995,19,8,3.9261513537887467,13,8,13.129950000000015,8,18,23.817999999999998
8,"[9, 25]",8.742365000000003,21,9,11.919931972609454,2,9,9.061900000000005,10,12,23.790999999999997
9,"[10, 24]",11.586000000000004,14,10,9.908033677693592,12,10,11.895500000000002,14,27,28.595
10,"[12, 29]",11.946950000000001,29,12,13.035345457193973,10,12,11.895500000000002,15,22,21.415300000000002
11,"[13, 17]",12.153000000000004,6,13,8.222079308155317,8,13,13.129950000000001,19,23,16.8681
12,"[14, 1]",12.2165,10,14,10.759966322306422,27,14,14.297499999999985,20,31,37.00400000000001
13,"[15, 16]",4.392600000000005,5,15,8.79605943401997,26,15,4.4270499999999995,25,28,22.70530000000001
14,"[16, 15]",14.7283,24,16,12.069299943008257,5,16,11.712400000000002,26,29,18.810799999999993
15,"[17, 13]",9.406800000000002,25,17,7.552325535815015,31,17,10.295199999999994,1,13,30.441000000000017
16,"[18, 20]",8.419999999999987,7,18,9.292744472956159,4,18,10.91505,2,30,33.194
17,"[19, 2]",8.995999999999999,8,19,8.95484864621126,23,19,8.434050000000006,3,17,21.4088
18,"[20, 18]",10.120999999999995,27,20,15.162008829738014,21,20,20.625500000000006,4,9,20.572699999999998
19,"[21, 4]",10.268549999999998,9,21,6.601568027390556,20,21,20.625500000000017,5,16,23.424800000000005
20,"[22, 5]",8.1622,4,22,12.136547361792736,3,22,10.936850000000007,6,24,30.658299999999983
21,"[23, 3]",14.202200000000008,3,23,9.287188465449532,19,23,8.43405,7,21,27.908000000000015
22,"[24, 10]",13.972299999999999,16,24,13.575400056991743,6,24,15.329150000000006,8,18,23.817999999999998
23,"[25, 9]",4.5185949999999995,17,25,9.124804464184983,28,25,11.352650000000004,10,12,23.790999999999997
24,"[28, 6]",13.378,31,26,12.885381293921075,15,26,4.427049999999998,14,27,28.595
25,"[29, 12]",10.195350000000001,20,27,10.653991170261975,14,27,14.2975,15,22,21.415300000000002
26,"[30, 7]",2.05299999999999,30,28,19.731435999350126,25,28,11.352650000000002,19,23,16.8681
27,"[31, 8]",11.017999999999997,12,29,9.106954542806031,7,29,11.433299999999988,20,31,37.00400000000001
28,[26],0.0,28,30,9.14746400064988,1,30,19.591000000000005,25,28,22.70530000000001
29,[27],0.0,26,31,5.197418706078929,17,31,10.295199999999989,26,29,18.810799999999993
